Object ID: 88, Bounding Box: [483.0, 248.0, 497.0, 289.0]
Object ID: 89, Bounding Box: [129.0, 250.0, 138.0, 280.0]
Object ID: 90, Bounding Box: [120.0, 279.0, 169.0, 324.0]
Object ID: 91, Bounding Box: [569.0, 254.0, 579.0, 292.0]
Object ID: 92, Bounding Box: [206.0, 251.0, 216.0, 270.0]
Object ID: 93, Bounding Box: [587.0, 255.0, 601.0, 285.0]
Object ID: 94, Bounding Box: [416.0, 251.0, 436.0, 271.0]
Object ID: 95, Bounding Box: [142.0, 276.0, 155.0, 289.0]
Object ID: 96, Bounding Box: [437.0, 245.0, 571.0, 269.0]
Object ID: 97, Bounding Box: [480.0, 247.0, 504.0, 257.0]
Object ID: 98, Bounding Box: [213.0, 218.0, 220.0, 226.0]
Object ID: 99, Bounding Box: [574.0, 246.0, 614.0, 260.0]
Object ID: 0, Bounding Box: [78.0, 247.0, 106.0, 345.0]
Object ID: 1, Bounding Box: [546.0, 141.0, 561.0, 168.0]
Object ID: 2, Bounding Box: [25.0, 248.0, 64.0, 313.0]
Object ID: 3, Bounding Box: [275.0, 297.0, 365.0, 381.0]
Object ID: 4, Bounding Box: [293.0, 262.0, 342.0, 344.0]
Object ID: 5, Bounding Box: [229.0, 251.0, 257.0, 314.0]
Object ID: 6, Bounding Box: [130.0, 248.0, 160.0, 314.0]
Object ID: 7, Bounding Box: [259.0, 251.0, 272.0, 286.0]
Object ID: 8, Bounding Box: [442.0, 141.0, 453.0, 174.0]
Object ID: 9, Bounding Box: [102.0, 250.0, 130.0, 331.0]
Object ID: 10, Bounding Box: [431.0, 249.0, 448.0, 292.0]
Object ID: 11, Bounding Box: [583.0, 306.0, 639.0, 376.0]
Object ID: 12, Bounding Box: [134.0, 279.0, 155.0, 324.0]
Object ID: 13, Bounding Box: [199.0, 193.0, 209.0, 225.0]
Object ID: 14, Bounding Box: [486.0, 248.0, 505.0, 293.0]
Object ID: 15, Bounding Box: [457.0, 252.0, 473.0, 294.0]
Object ID: 16, Bounding Box: [157.0, 251.0, 181.0, 293.0]
Object ID: 17, Bounding Box: [196.0, 257.0, 225.0, 322.0]
Object ID: 18, Bounding Box: [367.0, 266.0, 385.0, 322.0]
Object ID: 19, Bounding Box: [442.0, 250.0, 463.0, 268.0]
Object ID: 20, Bounding Box: [0.0, 290.0, 19.0, 347.0]
Object ID: 21, Bounding Box: [417.0, 251.0, 431.0, 291.0]
Object ID: 22, Bounding Box: [501.0, 256.0, 522.0, 303.0]
Object ID: 23, Bounding Box: [342.0, 254.0, 367.0, 327.0]
Object ID: 24, Bounding Box: [604.0, 254.0, 619.0, 299.0]
Object ID: 25, Bounding Box: [472.0, 250.0, 487.0, 289.0]
Object ID: 26, Bounding Box: [469.0, 255.0, 477.0, 284.0]
Object ID: 27, Bounding Box: [574.0, 257.0, 601.0, 310.0]
Object ID: 28, Bounding Box: [212.0, 253.0, 233.0, 312.0]
Object ID: 29, Bounding Box: [217.0, 199.0, 227.0, 226.0]
Object ID: 30, Bounding Box: [323.0, 248.0, 350.0, 300.0]
Object ID: 31, Bounding Box: [211.0, 198.0, 223.0, 226.0]
